X,CH1,CH2,Start,Increment,,Max,Min,Amp
Sequence,Volt,Volt,-0.0115600000,0.0000010000,,0.047200,-0.0516,0.049399999999999999
238,0.560000,-0.012800,,,,,,
239,0.560000,-0.014000,,,,,,
240,0.560000,-0.015200,,,,,,
241,0.560000,-0.013200,,,,,,
242,0.560000,-0.011600,,,,,,
243,0.560000,-0.013200,,,,,,
244,0.560000,-0.016400,,,,,,
245,0.560000,-0.014400,,,,,,
246,0.560000,-0.014000,,,,,,
247,0.560000,-0.015200,,,,,,
248,0.560000,-0.013200,,,,,,
249,0.560000,-0.015200,,,,,,
250,0.560000,-0.013200,,,,,,
251,0.560000,-0.013200,,,,,,
252,0.560000,-0.015600,,,,,,
253,0.560000,-0.014000,,,,,,
254,0.560000,-0.014000,,,,,,
255,0.560000,-0.013200,,,,,,
256,0.560000,-0.013200,,,,,,
257,0.560000,-0.014000,,,,,,
258,0.560000,-0.015200,,,,,,
259,0.560000,-0.013200,,,,,,
260,0.560000,-0.012800,,,,,,
261,0.560000,-0.011600,,,,,,
262,0.560000,-0.011600,,,,,,
263,0.560000,-0.013200,,,,,,
264,0.560000,-0.011600,,,,,,
265,0.560000,-0.012800,,,,,,
266,0.560000,-0.012000,,,,,,
267,0.560000,-0.014000,,,,,,
268,0.560000,-0.012800,,,,,,
269,0.560000,-0.010800,,,,,,
270,0.560000,-0.014000,,,,,,
271,0.560000,-0.013200,,,,,,
272,0.560000,-0.014000,,,,,,
273,0.560000,-0.012800,,,,,,
274,0.560000,-0.012000,,,,,,
275,0.400000,-0.013200,,,,,,
276,0.400000,-0.013200,,,,,,
277,0.400000,-0.014400,,,,,,
278,0.400000,-0.014400,,,,,,
279,0.400000,-0.016800,,,,,,
280,0.400000,-0.014400,,,,,,
281,0.400000,-0.014000,,,,,,
282,0.400000,-0.015600,,,,,,
283,0.400000,-0.016800,,,,,,
284,0.400000,-0.014400,,,,,,
285,0.400000,-0.016400,,,,,,
286,0.400000,-0.014400,,,,,,
287,0.400000,-0.014400,,,,,,
288,0.400000,-0.014400,,,,,,
289,0.400000,-0.014000,,,,,,
290,0.400000,-0.016800,,,,,,
291,0.400000,-0.014000,,,,,,
292,0.400000,-0.013200,,,,,,
293,0.400000,-0.014000,,,,,,
294,0.400000,-0.015200,,,,,,
295,0.400000,-0.014000,,,,,,
296,0.400000,-0.012800,,,,,,
297,0.400000,-0.015200,,,,,,
298,0.400000,-0.014400,,,,,,
299,0.400000,-0.014000,,,,,,
300,0.400000,-0.012000,,,,,,
301,0.400000,-0.013200,,,,,,
302,0.400000,-0.015600,,,,,,
303,0.400000,-0.016400,,,,,,
304,0.400000,-0.014400,,,,,,
305,0.400000,-0.016400,,,,,,
306,0.400000,-0.016800,,,,,,
307,0.400000,-0.016800,,,,,,
308,0.400000,-0.016400,,,,,,
309,0.400000,-0.015600,,,,,,
310,0.400000,-0.018000,,,,,,
311,0.400000,-0.016400,,,,,,
312,0.400000,-0.017600,,,,,,
313,0.400000,-0.014000,,,,,,
314,0.400000,-0.015200,,,,,,
315,0.400000,-0.018800,,,,,,
316,0.400000,-0.016800,,,,,,
317,0.400000,-0.015200,,,,,,
318,0.400000,-0.014400,,,,,,
319,0.400000,-0.016400,,,,,,
320,0.400000,-0.017600,,,,,,
321,0.400000,-0.016800,,,,,,
322,0.400000,-0.015600,,,,,,
323,0.400000,-0.016800,,,,,,
324,0.400000,-0.016400,,,,,,
325,0.400000,-0.016400,,,,,,
326,0.400000,-0.015200,,,,,,
327,0.400000,-0.016400,,,,,,
328,0.400000,-0.017600,,,,,,
329,0.320000,-0.016800,,,,,,
330,0.400000,-0.017600,,,,,,
331,0.400000,-0.015200,,,,,,
332,0.320000,-0.016800,,,,,,
333,0.320000,-0.018000,,,,,,
334,0.320000,-0.016800,,,,,,
335,0.320000,-0.017600,,,,,,
336,0.320000,-0.016800,,,,,,
337,0.320000,-0.017600,,,,,,
338,0.320000,-0.017600,,,,,,
339,0.320000,-0.016800,,,,,,
340,0.320000,-0.017600,,,,,,
341,0.320000,-0.020000,,,,,,
342,0.320000,-0.018800,,,,,,
343,0.320000,-0.018800,,,,,,
344,0.320000,-0.016800,,,,,,
345,0.320000,-0.018000,,,,,,
346,0.320000,-0.016800,,,,,,
347,0.320000,-0.015600,,,,,,
348,0.320000,-0.018800,,,,,,
349,0.320000,-0.015600,,,,,,
350,0.320000,-0.015600,,,,,,
351,0.320000,-0.015200,,,,,,
352,0.320000,-0.016400,,,,,,
353,0.320000,-0.018000,,,,,,
354,0.320000,-0.016800,,,,,,
355,0.320000,-0.016400,,,,,,
356,0.320000,-0.018000,,,,,,
357,0.320000,-0.017600,,,,,,
358,0.320000,-0.016800,,,,,,
359,0.320000,-0.017600,,,,,,
360,0.320000,-0.018000,,,,,,
361,0.320000,-0.018800,,,,,,
362,0.320000,-0.018000,,,,,,
363,0.320000,-0.020000,,,,,,
364,0.320000,-0.016800,,,,,,
365,0.320000,-0.019200,,,,,,
366,0.320000,-0.020400,,,,,,
367,0.320000,-0.020400,,,,,,
368,0.320000,-0.020400,,,,,,
369,0.320000,-0.019200,,,,,,
370,0.320000,-0.020000,,,,,,
371,0.320000,-0.019200,,,,,,
